date,name,amount,category
2026-01-02,Starbucks,5.75,FOOD_AND_DRINK
2026-01-02,Uber Eats,24.50,FOOD_AND_DRINK
2026-01-03,Netflix,15.99,ENTERTAINMENT
2026-01-03,Spotify,10.99,ENTERTAINMENT
2026-01-04,Shell Gas Station,45.00,TRANSPORTATION
2026-01-05,Whole Foods,87.32,GROCERIES
2026-01-05,Amazon Prime,14.99,SHOPPING
2026-01-06,Paycheck,-3200.00,INCOME
2026-01-07,Rent,1500.00,HOUSING
2026-01-07,Electric Bill,120.45,UTILITIES
2026-01-08,Gym Membership,49.99,HEALTH_AND_FITNESS
2026-01-09,Target,34.67,SHOPPING
2026-01-10,Chipotle,12.85,FOOD_AND_DRINK
2026-01-11,Verizon,85.00,UTILITIES
2026-01-12,Trader Joes,62.18,GROCERIES
2026-01-13,Starbucks,6.25,FOOD_AND_DRINK
2026-01-14,Disney Plus,13.99,ENTERTAINMENT
2026-01-15,Uber,18.50,TRANSPORTATION
2026-01-16,CVS Pharmacy,23.45,HEALTH_AND_FITNESS
2026-01-17,Amazon,67.89,SHOPPING
2026-01-18,Costco,145.23,GROCERIES
2026-01-19,Hulu,17.99,ENTERTAINMENT
2026-01-20,Paycheck,-3200.00,INCOME
2026-01-21,Water Bill,45.00,UTILITIES
2026-01-22,Starbucks,5.50,FOOD_AND_DRINK
2026-01-23,Shell Gas Station,42.00,TRANSPORTATION
2026-01-24,Whole Foods,93.15,GROCERIES
2026-01-25,Internet Bill,79.99,UTILITIES
2026-01-26,AMC Theaters,28.50,ENTERTAINMENT
2026-01-27,Uber Eats,19.75,FOOD_AND_DRINK
2026-01-28,Apple iCloud,2.99,SHOPPING
2026-01-29,Trader Joes,55.40,GROCERIES
2026-01-30,ChatGPT Plus,20.00,SHOPPING
2026-01-31,Starbucks,7.00,FOOD_AND_DRINK
2026-02-01,Netflix,15.99,ENTERTAINMENT
2026-02-01,Spotify,10.99,ENTERTAINMENT
2026-02-02,Rent,1500.00,HOUSING
2026-02-02,Electric Bill,135.60,UTILITIES
2026-02-03,Paycheck,-3200.00,INCOME
2026-02-03,Gym Membership,49.99,HEALTH_AND_FITNESS
2026-02-04,Starbucks,5.75,FOOD_AND_DRINK
2026-02-05,Whole Foods,78.90,GROCERIES
2026-02-05,Shell Gas Station,48.00,TRANSPORTATION
2026-02-06,Target,42.33,SHOPPING
2026-02-07,Chipotle,13.50,FOOD_AND_DRINK
2026-02-08,Verizon,85.00,UTILITIES
2026-02-09,Uber,22.00,TRANSPORTATION
2026-02-10,Costco,132.67,GROCERIES
